,number,to,id,from,bin_dist.mean,bin_dist.std,bin_dist.med,bin_dist.min,bin_dist.max,set_matches
0,1,0,0,0,4.5,1.5,4.5,0,9,
0,1,1,0,0,4.0,0.0,4.0,4,4,0.0
0,1,0,0,1,4.0,0.0,4.0,4,4,0.0
0,2,2,0,0,2.0,0.0,2.0,2,2,0.0
0,2,0,0,2,2.5,0.5,2.5,2,3,0.0
0,1,1,0,1,4.5,1.5,4.5,0,9,
0,2,2,0,1,4.0,0.0,4.0,4,4,0.0
0,2,1,0,2,4.5,0.5,4.5,4,5,0.0
0,2,2,0,2,4.0,1.4142135623730951,4.0,0,8,
0,90,0,1,0,1.296875,0.8418671120640121,1.0,0,3,
0,305,1,1,0,0.3888888888888889,0.4874980215217846,0.0,0,1,55.0
0,305,0,1,1,1.455737704918033,0.9944970868692647,1.0,0,4,55.0
0,509,2,1,0,0.0,0.0,0.0,0,0,90.0
0,509,0,1,2,1.3772102161100197,0.9293042356994566,1.0,0,4,90.0
0,305,1,1,1,0.404296875,0.4907554501635559,0.0,0,1,
0,509,2,1,1,0.0,0.0,0.0,0,0,305.0
0,509,1,1,2,0.4086444007858546,0.5073176981243035,0.0,0,2,305.0
0,509,2,1,2,0.005859375,0.07632196751007782,0.0,0,1,
0,32,0,10,0,2.0,1.0,2.0,0,4,
0,44,1,10,0,2.3125,0.46351240544347894,2.0,2,3,0.0
0,44,0,10,1,2.5,0.5,2.5,2,3,0.0
0,32,2,10,0,3.0,0.0,3.0,3,3,0.0
0,32,0,10,2,3.0,0.0,3.0,3,3,0.0
0,44,1,10,1,1.8125,0.982264602843857,2.0,0,4,
0,32,2,10,1,0.5,0.5,0.5,0,1,22.0
0,32,1,10,2,0.3125,0.46351240544347894,0.0,0,1,22.0
0,32,2,10,2,2.0,1.0,2.0,0,4,
0,2,0,11,0,4.0,1.4142135623730951,4.0,0,8,
0,4,1,11,0,4.0,0.0,4.0,4,4,0.0
0,4,0,11,1,4.5,0.5,4.5,4,5,0.0
0,4,2,11,0,4.0,0.0,4.0,4,4,0.0
0,4,0,11,2,4.5,0.5,4.5,4,5,0.0
0,4,1,11,1,3.5,1.3228756555322954,3.5,0,7,
0,4,2,11,1,2.0,0.0,2.0,2,2,0.0
0,4,1,11,2,2.0,0.0,2.0,2,2,0.0
0,4,2,11,2,3.5,1.3228756555322954,3.5,0,7,
0,44,0,12,0,1.8125,0.982264602843857,2.0,0,4,
0,8,1,12,0,3.6363636363636362,0.8813963377120598,4.0,2,5,0.0
0,8,0,12,1,2.5,0.5,2.5,2,3,0.0
0,72,2,12,0,1.8181818181818181,0.7158188976374372,2.0,1,3,0.0
0,72,0,12,2,2.388888888888889,0.9509579315902049,2.5,1,4,0.0
0,8,1,12,1,3.0,1.224744871391589,3.0,0,6,
0,72,2,12,1,1.5,0.5,1.5,1,2,0.0
0,72,1,12,2,3.611111111111111,1.2969575033254168,4.0,1,6,0.0
0,72,2,12,2,1.4375,0.8637671850678283,1.0,0,3,
0,248,0,13,0,0.53125,0.5294085733155443,1.0,0,2,
0,16,1,13,0,2.4516129032258065,1.3158760035078154,2.0,0,5,16.0
0,16,0,13,1,0.0,0.0,0.0,0,0,16.0
